Role.in.Operation,County,County.Multiple,Regions,Total.Yield.Bearing.Acreage,Acre.Ranges,Cover.Crop.Grown,Cover.Crop.Seeds,Cover.Crop.Satisfaction,Cover.Crop.Interest,Cover.Crop.Concerns,Cover.Crop.Incentives,Pollination,Beekeeper.Location,Rental.Price,Age
"Owner, not responsible for day-to-day management",Colusa,Colusa,North,100,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Expense of water,Cost of seeds",NA,Our orchards were not mature enough for bee pollination,NA,NA,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,25,Small,No,NA,NA,Yes,"Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,190,55-64 years old
Farm manager (not owner),Madera,Madera,Central,1100,Large,No,NA,NA,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,200,18-24 years old
Owner/operator of almond orchard(s),Butte,Butte,North,40,Small,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations",NA,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,175,65-74 years old
Farm manager (not owner),"San Joaquin,Stanislaus",Multiple,Central,1500,Large,No,NA,NA,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",Decreased rental fee for managed bee colonies,We rented all our bees,Out of state,250,25-34 years old
Farm manager (not owner),Stanislaus,Stanislaus,Central,100,Medium,Yes,Directly from seed company,Very Satisfied,NA,Cost of seeds,NA,We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county,Out of state",200,65-74 years old
Owner/operator of almond orchard(s),Tulare,Tulare,South,800,Large,Yes,Directly from seed company,Very Satisfied,NA,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds",NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,NA,35-44 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,40,Small,No,NA,NA,Yes,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Prefer not to answer,0,18-24 years old
Farm manager (not owner),Colusa,Colusa,North,2000,Large,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,"Availability of water,Expense of water,Availability of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",NA,We rented all our bees,"California, but not a neighboring county",200,55-64 years old
Farm manager (not owner),"San Joaquin,Madera,Fresno,Kings,Tulare",Multiple,South,250,Large,No,NA,NA,No,Availability of water,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",Prefer not to answer,Out of state,NA,25-34 years old
