"EndDate","Role.in.Operation","County","Regions","Region.North","Region.Delta","Region.Central","Region.South","Total.Yield.Bearing.Acreage","Acre.Ranges","Cover.Crop.Grown","Cover.Crop.Satisfaction","Cover.Crop.Interest","Cover.Crop.Concerns","Cover.Crop.Incentives","Age"
"12/10/19","Owner, not responsible for day-to-day management","Colusa","North",1,0,0,0,100,"Medium","Yes","Somewhat Satisfied",NA,"Expense of water,Cost of seeds","","45-54 years old"
"12/10/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,25,"Small","No","","Yes","Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"12/10/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1100,"Large","No","","Yes","Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","18-24 years old"
"12/10/19","Owner/operator of almond orchard(s)","Butte","North",1,0,0,0,40,"Small","Yes","Very Satisfied",NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations","","65-74 years old"
"12/10/19","Farm manager (not owner)","San Joaquin,Stanislaus","Central",0,0,1,0,1500,"Large","No","","Yes","Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Decreased rental fee for managed bee colonies","25-34 years old"
"12/10/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,100,"Medium","Yes","Very Satisfied",NA,"Cost of seeds","","65-74 years old"
"12/10/19","Owner/operator of almond orchard(s)","Tulare","South",0,0,0,1,800,"Large","Yes","Very Satisfied",NA,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","","35-44 years old"
"12/10/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,40,"Small","No","","Yes","Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","18-24 years old"
"12/10/19","Farm manager (not owner)","Colusa","North",1,0,0,0,2000,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Availability of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","55-64 years old"
"12/10/19","Farm manager (not owner)","San Joaquin,Madera,Fresno,Kings,Tulare","South",0,0,0,1,250,"Large","No","","No","Availability of water","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","25-34 years old"
