EndDate,Role in Operation,County,Regions,Total Yield Bearing Acreage,Acre Ranges,Total Non-Yield Bearing Acreage,Pollination Manager,Cover Crop Grown,Cover Crop Seeds,Cover Crop Satisfaction,Cover Crop Interest,Cover Crop Concerns,Cover Crop Incentives,Water Source,PPH Grown,PPH Satisfaction,PPH Interest,PPH Concerns,PPH Incentives,Pollination,Beekeeper Location,Rental Price,Age
12/10/19,"Owner, not responsible for day-to-day management",Colusa,North,100,Medium,20,Farm manager,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,,"Expense of water,Cost of seeds",,A combination of surface water and groundwater,Yes,Somewhat Satisfied,,"Lack of available land,Cost to plant and maintain it,Expense of water",Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Our orchards were not mature enough for bee pollination,,,45-54 years old
12/10/19,Owner/operator of almond orchard(s),Stanislaus,Central,25,Small,1,"Owner of the almond orchard(s),Independent PCA (not affiliated with an agricultural retailer)",No,,,Yes,"Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,No,Lack of available land,None of these are incentives,We rented all our bees,Out of state,190,55-64 years old
12/10/19,Farm manager (not owner),Madera,Central,1100,Large,100,"Owner of the almond orchard(s),Farm manager,Affiliated PCA (with an agricultural retailer),Pesticide applicator,Beekeeper",No,,,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",A combination of surface water and groundwater,No,,Yes,"Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented all our bees,Out of state,200,18-24 years old
12/10/19,Owner/operator of almond orchard(s),Butte,North,40,Small,20,Owner of the almond orchard(s),Yes,PCA/CCA/Crop consultant,Very Satisfied,,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations",,Groundwater,No,,Yes,"Labor to plant and maintain it,Cost to plant and maintain it,Incompatibility with irrigation system(s)",Increased strength of bee colonies during bloom and afterwards,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,175,65-74 years old
12/10/19,Farm manager (not owner),"San Joaquin,Stanislaus",Central,1500,Large,400,Owner of the almond orchard(s),No,,,Yes,"Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",Decreased rental fee for managed bee colonies,A combination of surface water and groundwater,No,,No,"Lack of available land,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Potential for pesticide application to harm native/endangered pollinators living in the permanent habitat",None of these are incentives,We rented all our bees,Out of state,250,25-34 years old
12/10/19,Farm manager (not owner),Stanislaus,Central,100,Medium,20,"Beekeeper,Bee broker",Yes,Directly from seed company,Very Satisfied,,Cost of seeds,,Groundwater,No,,No,"Effort/time to manage it,Increased risk of frost damage","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom and afterwards",We rented some bees and supplied some of our own,"Near your orchard(s): from the same county or a neighboring county,California, but not a neighboring county,Out of state",200,65-74 years old
12/10/19,Owner/operator of almond orchard(s),Tulare,South,800,Large,0,Independent PCA (not affiliated with an agricultural retailer),Yes,Directly from seed company,Very Satisfied,,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds",,Groundwater,Yes,Somewhat Satisfied,,"Effort/time to manage it,Availability of water",Increased strength of bee colonies during bloom and afterwards,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,,35-44 years old
12/10/19,Farm manager (not owner),San Joaquin,Central,40,Small,0,Owner of the almond orchard(s),No,,,Yes,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Labor to plant and maintain it,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",We rented all our bees,Prefer not to answer,0,18-24 years old
12/10/19,Farm manager (not owner),Colusa,North,2000,Large,500,"Owner of the almond orchard(s),Farm manager,Beekeeper",Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,,"Availability of water,Expense of water,Availability of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",,A combination of surface water and groundwater,No,,Not sure,"Lack of available land,Availability of water,Increased risk of frost damage,Risk of supporting pest populations (e.g. Navel Orange Worm, or rodents),Fire danger from vegetation",Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,We rented all our bees,"California, but not a neighboring county",200,55-64 years old
12/10/19,Farm manager (not owner),"San Joaquin,Madera,Fresno,Kings,Tulare",South,250,Large,45,Affiliated PCA (with an agricultural retailer),No,,,No,Availability of water,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",A combination of surface water and groundwater,No,,No,"Effort/time to manage it,Availability of water","Federal cost-share program that covers the cost of permanent pollinator habitat seeds/plants,Decreased rental fee for managed bee colonies",Prefer not to answer,Out of state,,25-34 years old
12/10/19,"Owner, not responsible for day-to-day management",Kings,South,57,Medium,0,"Owner of the almond orchard(s),Beekeeper",No,,,Not sure,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)",Increased strength of bee colonies during bloom,Groundwater,No,,Yes,"Lack of available land,Effort/time to manage it,Cost to plant and maintain it,Lack of information about how to grow permanent pollinator habitat",Supporting native pollinators,We rented all our bees,Prefer not to answer,120,25-34 years old
